"courseCode","courseName","courseCredit","courseCategory","courseAvailability","descriptions","created_at","updated_at"
"LMCA1402","PENGURUSAN JENAZAH","2","C4","5","Kursus ini menghuraikan tentang pengurusan dan pentadbiran masjid secara praktikal sebagai pusat ibadah dan dakwah. Ia meliputi aspek pengurusan infrastruktur, kewangan dan portfolio sebagaimana yang dijelaskan dalam garis panduan jabatan agama Islam. Ia membincangkan aspek pengurusan dakwah masjid sebagai pusat ilmu dan pusat tumpuan masyarakat. Selain itu ia membahaskan cara terbaik dalam mendekati masyarakat menerusi bimbingan dan kaunseling. Ia turut meliputi pengurusan perkahwinan, khairat kematian dan aktiviti-aktiviti kebajikan. Kursus ini akan disampaikan kepada pelajar melalui kuliah, pengalaman pembelajaran dan amali.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCA1412","ISLAM & KESUKARELAWANAN","2","C4","1","Kursus ini bertujuan untuk memberi pemahaman kepada para pelajar berkaitan falsafah, konsep dan teori penciptaan alam semesta menurut Islam (kosmofiqh). Kursus ini juga melatih para pelajar kemahiran aplikasi astrofiqh & kosmofiqh sehingga mampu melaksananakannya dalam kehidupan dan masyarakat. Di samping itu juga, kursus ini memberi pendedahan berkaitan aspek-aspek matematik, sains dan teknologi untuk menyelesaikan isu-isu astrofiqh & kosmofiqh yang sentiasa dinamik. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk teori, praktikal di lapangan, lawatan ke balai cerap dengan kerjasama agensi kerajaan yang berkaitan dan pemasyarakatan kursus bersama pihak sekolah dan orang awam.","2022-01-26T22:21:56.000000Z","2022-01-26T22:23:42.000000Z"
"LMCA1422","PENGURUSAN ACARA DAN PENGIMARAHAN MASJID","2","C4","1","Kursus ini memberi kemahiran kepada pelajar membuat perancangan serta melaksanakan program dan aktiviti selaras dengan fungsi masjid sebagai pusat kerohanian, keilmuan dan kemasyarakatan. Pelajar didedahkan dengan pengalaman mengurus aktiviti-aktiviti yang berkala seperti kuliah, pengajian kitab, ceramah, kursus, bengkel, seminar atau program-program imarah yang lain. Pelajar juga diberi kemahiran untuk pengurusan acara-acara berskala besar seperti karnival masjid, maulidurrasul, korban akikah dan ihya’ Ramadan. Selain itu, kursus ini turut memberi pendedahan kepada pelajar untuk mengurus penerbitan masjid seperti risalah, buletin dan majalah. Pengajaran dan pembelajaran dilakukan dalam bentuk teori dan praktikal secara individu dan berkumpulan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCA1432","KALKULATOR FARAID","2","C4","2","Kursus ini bertujuan untuk mengembangkan potensi pelajar dalam menyelesaikan pembahagian harta pusaka orang Islam mengikut kalkulator faraid. Justeru, kursus ini akan membahaskan konsep faraid, bentuk harta pusaka dan hak-hak yang berkaitan dengannya. Pelajar akan didedahkan kepada keperluan dan kepentingan mempelajari ilmu faraid. Melalui kursus ini pelajar akan dapat mengenalpasti jenis-jenis waris dan bahagian yang mereka berhak warisi di samping membincangkan pewarisan golongan tertentu seperti orang yang hilang, janin dan khuntha. Fokus utama kursus ini ialah mengaplikasi kaedah pengiraan faraid dalam menyelesaikan kes-kes pembahagian harta pusaka. Pengajaran dan pembelajaran kursus ini akan dilaksanakan dalam bentuk pengalaman pembelajaran, pembelajaran berasaskan masalah, latihan dalam kumpulan (LDK) dan openlearning MOOC melalui kursus Celik Faraid.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCA1442","MASJID DAN KOMUNITI REMAJA","2","C4","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB1314","PALAPES TENTERA DARAT PERINGKAT TINGGI","2","C3","","Kursus ini merupakan peringkat tinggi latihan PALAPES. Ia menekankan aspek pemikiran logik dan analitikal. Kursus ini berorientasikan aplikasi pengetahuan dan kemahiran praktikal elemen-elemen ketenteraan dalam kehidupan seharian. Melalui kursus ini pelajar menyasarkan dirinya untuk ditauliahkan oleh Yang di-Pertuan Agong sebagai pegawai muda dalam Angkatan Tentera Malaysia.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB1412","BERKAWAD","2","C4","","Kursus ini dilaksanakan untuk memberi pendedahan tentang disiplin dalam berkawad dari segi pakaian, Bahasa hukuman dan pergerakan. Selain dari itu pelajar akan dibimbing dengan teknik yang betul tentang berkawad. Komponen kursus ini mengandungi elemen teori, praktikal dan juga latihan simulasi terhadap pengalaman sebenar melakukan latihan kawad. Kaedah simulasi dan menonton video pertandingan kawad juga turut dilaksanakan bagi membolehkan para pelajar membuat penilaian sebenar.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB1414","PALAPES TENTERA DARAT PERINGKAT PERTENGAHAN","2","C4","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB1432","INOVASI DALAM KETENTERAAN","2","C4","","Kursus ini memberi pendedahan kepada pelajar untuk mendalami inovasi berkaitan bidang ketenteraan. Pengalaman dan pengetahuan pelajar dalam pelbagai bidang dapat ditransformasikan dalam bentuk pembelajaran yang disepadukan dengan elemen teknologi. Komponen kursus ini mengandungi elemen teori, praktikal dan juga persembahan terhadap penghasilan prototaip. Kaedah lawatan ke unit-unit tentera juga turut dilaksanakan bagi membolehkan para pelajar membuat penilaian sebenar dan membuat perbandingan antara teknologi terkini dan sedia ada dalam ketenteraan. Di akhir kursus pelajar berupaya menghasilkan inovasi prototaip produk ketenteraan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB1613","KELANASISWA 1","3","C6","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
